capital,university,venture,enterprise,accelerator,procurement_before,timedelta,procurement_after,energy_and_semiconductor,finance,ecology,bio,computer,service,limited_industry
3000.0,0.0,1.0,0.0,1.0,10000.0,359.0,40026.0,0,0,0,0,0,1,0.0
1000.0,0.0,1.0,0.0,1.0,9324.0,513.0,46417.0,0,0,0,0,0,1,0.0
10000.0,0.0,0.0,1.0,1.0,76000.0,101.0,0.0,0,0,0,0,1,0,0.0
10.0,0.0,0.0,1.0,1.0,40010.0,688.0,100264.0,0,0,0,0,0,1,0.0
1000.0,0.0,0.0,1.0,1.0,1000.0,1370.0,80000.0,0,0,0,0,1,0,1.0
4000.0,0.0,1.0,0.0,1.0,14000.0,196.0,49800.0,0,0,0,0,1,0,0.0
5000.0,1.0,0.0,0.0,1.0,35400.0,260.0,130000.0,0,0,0,1,0,0,0.0
3000.0,0.0,1.0,0.0,1.0,3000.0,80.0,32993.0,0,0,0,0,1,0,1.0
2000.0,0.0,0.0,0.0,1.0,2000.0,79.0,1491.0,0,0,0,1,0,0,0.0
10000.0,0.0,0.0,1.0,1.0,10000.0,49.0,60000.0,0,0,0,0,1,0,0.0
200.0,0.0,1.0,0.0,1.0,57703.0,331.0,0.0,0,0,0,0,1,0,0.0
1000.0,0.0,0.0,0.0,1.0,41400.0,294.0,30115.0,1,0,0,0,0,0,0.0
300.0,0.0,1.0,0.0,1.0,34050.0,543.0,1500765.0,0,0,0,0,1,0,0.0
3000.0,0.0,1.0,0.0,1.0,6000.0,974.0,7000.0,0,0,0,0,1,0,0.0
5010.0,1.0,0.0,1.0,1.0,10020.0,1008.0,0.0,0,0,0,1,0,0,1.0
1500.0,0.0,1.0,0.0,1.0,31582.0,488.0,4000.0,0,0,0,0,1,0,0.0
5000.0,0.0,0.0,1.0,1.0,111000.0,597.0,0.0,0,0,0,0,0,1,0.0
2000.0,0.0,0.0,1.0,1.0,2000.0,153.0,20000.0,0,0,0,0,0,1,0.0
1000.0,0.0,0.0,1.0,1.0,1000.0,1403.0,0.0,0,0,0,0,1,0,0.0
